ano,semestre,numero_questao,texto,principal,secundarias,pagina
2016,sem1,Questão 01,"Questão 01 O solo pode ser conceituado como um manto superfi cial formado por rocha desagregada
e, eventualmente, cinzas vulcânicas, em mistura com matéria orgânica em decomposição,
contendo, ainda, água e ar em proporções variáveis e organismos vivos.
<http://tinyurl.com/plpxund> Acesso em: 05.08.2015.
Como exemplos de matéria orgânica, é correto citar
(A) sal de cozinha e vidro.
(B) sal de cozinha e água.
(C) amido e folhas.
(D) amido e água.
(E) vidro e folhas.",Substâncias e misturas,Nenhum,1
2016,sem1,Questão 02,"Questão 02 A agricultura é a arte de colher o sol. Essa frase, divulgada nos cursos de Agronomia, expressa o quanto a
agricultura depende de fenômenos e elementos naturais mais do que qualquer outra atividade econômica
conhecida. Isso ocorre porque a produção agropecuária depende de uma capacidade especial típica dos vegetais:
sintetizar seu próprio alimento.
Porém, assim como todos os demais seres vivos, as plantas também precisam de água e de nutrientes minerais
que elas retiram do solo pelas raízes. Entretanto, as plantas podem “fabricar” as substâncias orgânicas de que
necessitam para sua nutrição e fazem isso por meio de um processo bioquímico chamado de fotossíntese, o qual
depende da energia do sol para acontecer.
<http://tinyurl.com/pw336dv> Acesso em: 20.08.2015. Adaptado.
A partir das informações do texto, assinale a alternativa correta.
(A) O solo depende da energia do sol e das raízes das plantas para realizar o processo de fotossíntese.
(B) A agricultura possui autonomia, pois independe de fenômenos naturais para sua existência.
(C) As plantas não dependem de outros seres vivos para produzir o próprio alimento.
(D) As sementes das plantas adubam organicamente o solo no processo de fotossíntese.
(E) O solo produz os materiais orgânicos e energia para nutrir as plantas e o processo agrícola.
",Características básicas dos seres vivos,Nenhum,1
2016,sem1,Questão 03,"Questão 05 Os vegetais precisam respirar. Para tanto, eles absorvem
gás oxigênio do ambiente. Essa absorção ocorre A adubação verde é uma prática utilizada pelos
principalmente através de suas folhas e de suas raízes. agricultores, em várias regiões do mundo, para
Assim, o solo precisa ter certa quantidade de ar para que recuperar os solos degradados pelo cultivo,
as raízes possam absorver o gás oxigênio. Considerando melhorar aqueles que são naturalmente pobres
esse aspecto, podemos afi rmar que as minhocas prestam ou conservar os que já são produtivos. Consiste
um importante serviço ecológico, pois contribuem para o no plantio de espécies de plantas, como as
arejamento do solo. leguminosas (soja, feijão, alfafa) tanto em conjunto
com outras plantas (plantações consorciadas), como
As minhocas estão sempre cavando túneis e revolvendo
em períodos alternados (rotações de culturas).
a terra à procura de restos orgânicos, dos quais se
alimentam, deixando a terra fofa e arejada. Além disso, As leguminosas são muito utilizadas como adubo
esses túneis facilitam a drenagem das águas das chuvas. verde, pois suas raízes são capazes de se associar a
bactérias, que fi xam o gás nitrogênio diretamente
Em solos muito duros, normalmente não há minhocas,
do ar presente no solo e com ele produzem
principalmente porque ali elas não conseguem cavar as
compostos nitrogenados que, incorporados ao
suas galerias. Não existindo esses animais, a terra terá
solo, atuam na sua adubação natural. Além disso,
menos húmus e menos gás oxigênio e, portanto, oferecerá
esses compostos nitrogenados são compartilhados
menos recursos para a vida vegetal.
com as plantas leguminosas, contribuindo assim
Sobre esses animais, é correto afi rmar que para um melhor
desenvolvimento
(A) são invertebrados, de vida parasitária, como as
desses vegetais que,
lombrigas e as sanguessugas.
em troca, fornecem
(B) possuem corpo cilíndrico, não segmentado e compostos orgânicos
respiram por meio de brânquias. às bactérias.
(C) favorecem a agricultura, pois produzem o gás A fi gura ilustra o
oxigênio necessário à respiração das raízes dos sistema radicular de
vegetais. uma planta de soja com
(D) sintetizam a matéria orgânica de que necessitam para bactérias fi xadoras de
sobreviver a partir dos minerais que absorvem do nitrogênio. As bactérias
solo. estão nas “bolinhas”
David M.Dennis
que aparecem na raiz.
(E) rastejam e cavam túneis graças à contração e <http://tinyurl.com/p8xhn62> Acesso em:
distensão coordenadas dos músculos de cada 11.09.2015. Original colorido.
segmento do corpo.",Características básicas dos seres vivos,Meio ambiente,2
2016,sem1,Questão 05,"Questão 05 A adubação verde é uma prática utilizada pelos
agricultores, em várias regiões do mundo, para
recuperar os solos degradados pelo cultivo,
melhorar aqueles que são naturalmente pobres
ou conservar os que já são produtivos. Consiste
no plantio de espécies de plantas, como as
leguminosas (soja, feijão, alfafa) tanto em conjunto
com outras plantas (plantações consorciadas), como
em períodos alternados (rotações de culturas).
As leguminosas são muito utilizadas como adubo
verde, pois suas raízes são capazes de se associar a
bactérias, que fi xam o gás nitrogênio diretamente
do ar presente no solo e com ele produzem
compostos nitrogenados que, incorporados ao
solo, atuam na sua adubação natural. Além disso,
esses compostos nitrogenados são compartilhados
com as plantas leguminosas, contribuindo assim
para um melhor
d e s e n v o l v i m e n t o
desses vegetais que,
em troca, fornecem
compostos orgânicos
às bactérias.
A fi gura ilustra o
sistema radicular de
uma planta de soja com
bactérias fi xadoras de
nitrogênio. As bactérias
estão nas “bolinhas”
que aparecem na raiz.
Sobre a adubação verde, é correto afi rmar que
(A) o cultivo de leguminosas contamina o solo com
substâncias tóxicas produzidas pelas bactérias.
(B) a concentração de compostos nitrogenados no solo
diminui, devido à atividade das bactérias que vivem
associadas às plantas leguminosas.
(C)  o cultivo de leguminosas aumenta o custo da
produção agrícola, pois será preciso comprar adubo
nitrogenado para suprir a falta desse elemento
químico no solo.
(D) as plantas leguminosas aproveitam diretamente o
gás nitrogênio do ar, fornecendo-o para as bactérias
que fazem fotossíntese e produzem compostos
nitrogenados.
(E) as bactérias que vivem nas raízes das leguminosas
fi xam o gás nitrogênio, transformando-o em
compostos nitrogenados, os quais podem ser
utilizados por essas plantas.",Meio ambiente,Nenhum,2
2016,sem1,Questão 04,"Questão 04 A água presente no solo, como em qualquer ambiente, é
componente essencial à vida, seja como solvente, diluente
ou veículo de gases e nutrientes, seja como recurso
metabólico e fi siológico, necessária aos organismos vivos
que se encontram no próprio solo ou absorvido pelas
plantas por meio de suas raízes.
Sobre esse composto, presente no solo, é correto afi rmar que
(A) solidifi ca-se, ao penetrar no solo.
(B) encontra-se na natureza nos três estados físicos.
(C) transforma-se em hidrogênio e oxigênio gasosos, no
seu ciclo natural.
(D) encontramos moléculas de água diferentes na chuva.
(E) encontra-se na forma de substância pura no mar.",Estados da matéria,Substâncias e misturas,2
2016,sem1,Questão 06,"Questão 06 Para transportar terra adubada retirada da compostagem,
um agricultor enche um carrinho de mão e o leva até o
local de plantio aplicando uma força horizontal, constante
e de intensidade igual a 200 N.
Se durante esse transporte, a força resultante aplicada foi
capaz de realizar um trabalho de 1 800 J, então, a distância
entre o monte de compostagem e o local de plantio foi,
em metros,
Lembre-se de que o trabalho
realizado por uma força, durante
a realização de um deslocamento,
é o produto da intensidade dessa
força pelo deslocamento.
(A) 6.
(B) 9.
(C) 12.
(D) 16.
(E) 18.",Energia,Nenhum,3
2016,sem1,Questão 09,"A calagem é um processo usado para preparar o solo para
a agricultura. Tem a fi nalidade de diminuir a acidez do
solo, fornecendo suprimento de cálcio e magnésio para as
plantas.
Nesse processo, pode-se usar calcário, no qual o principal
componente é o carbonato de cálcio, CaCO3
.
Sobre as informações fornecidas é correto afi rmar que
(A) no processo descrito, temos a adição de metais
pesados ao solo.
(B) no principal componente do calcário, temos cinco
elementos químicos.
(C) a calagem consiste na adição de um composto com
caráter ácido ao solo.
(D) o principal componente do calcário é fonte de cálcio
e magnésio para as plantas.
(E) o suprimento de magnésio deve vir de outro
composto que não seja o carbonato de cálcio. ",Elementos,Fórmulas químicas,3
2016,sem1,Questão 07,"No Brasil, as principais áreas de extração do minério de
ferro são a Serra dos Carajás e o Quadrilátero Ferrífero, que
se localizam, respectivamente, nos estados
(A) de Goiás e do Maranhão.
(B) de São Paulo e do Amapá.
(C) de Roraima e do Tocantins.
(D) do Pará e de Minas Gerais.
(E) do Amazonas e de Sergipe.",Recursos minerais,Nenhum,3
2016,sem1,Questão 10,"Questão 10Nesta tabela está representada uma técnica agrícola que
consiste, inicialmente, na divisão de um terreno em três
campos.
Terra 1º ano 2º ano 3º ano
Campo I Trigo Cevada Descanso
do solo
Campo II Cevada Descanso
do solo Trigo
Campo III Descanso
do solo Trigo Cevada
Essa técnica refere-se corretamente ao chamado sistema
(A) trienal, criado na idade média, no qual a rotação
de culturas possibilitava colheitas de dois tipos de
cereais e a recuperação do solo a cada ano.
(B) cerealista, criado na era moderna, quando o comércio
de longa distância obrigava o uso de todas as
possibilidades do solo para a agricultura.
(C) tripartido, criado na idade média, no qual cada
campo fi cava sob o cuidado de uma das três ordens
que compunham a sociedade feudal.
(D) de três campos, criado na antiguidade, no qual a
divisão em áreas com fi nalidades distintas restringia
o uso do solo a um único cultivo.
(E) tricíclico, criado na pré-história, no qual se cultivava
a cada período um tipo de cereal e se possibilitava o
descanso do solo.",Feudalismo,Primeiras civilizações,3
2016,sem1,Questão 08,"O Brasil é um dos maiores produtores mundiais de soja
em grãos. Nas décadas de 1960 e 1970, a região Sul
era a principal produtora de soja do Brasil. A partir da
década de 1980, a produção de soja se expandiu para a
região Centro-Oeste em função, entre outros fatores, da
topografi a favorável à mecanização, o que propicia maior
rendimento nas operações de preparo do solo para cultivo.
Atualmente, o estado brasileiro que mais produz esse
grão e o país que mais importa esse produto do Brasil são,
respectivamente,
(A) Pará e Estados Unidos.
(B) São Paulo e Austrália.
(C) Paraíba e Dinamarca.
(D) Pernambuco e Japão.
(E) Mato Grosso e China.",Atividades econômicas,Países (foco na América Latina),3
